Datum,Gemeentenaam,Provincienaam,Aantal,Provincie_aantal,Aantal_yes,Provincie_aantal_yes,Datum_yes2,Aantal_y,Provincie_aantal_yes2,Aantal_yes3,Provincie_aantal_yes3,outbreak_days,high_temp_degree,low_temp_degree,hist_Gemiddeld_degree_low,hist_Gemiddeld_degree_high,Gemeenten2016_Bevolking,Gemeenten2016_Beweegrichtlijnen,Gemeenten2016_Eenzaam,Gemeenten2016_Ernstig_zeerernstigeenzaam,Gemeenten2016_Ernstigehinderspoorwegen,Gemeenten2016_Ernstigehindervliegtuigen,Gemeenten2016_Ernstigehinderwegenless_than_50km_u,Gemeenten2016_Ernstigehinderwegenmore_than_50km_u,Gemeenten2016_Gehoorbeperking,Gemeenten2016_Gezichtsbeperking,Gemeenten2016_Goed_zeergoedervarengezondheid,Gemeenten2016_Hoogrisicoopangstofdepressie,Gemeenten2016_Langdurigeziekteofaandoening,Gemeenten2016_Mantelzorger,Gemeenten2016_Mantelzorgontvangenafg12mnd_65above,Gemeenten2016_Matig_hoogrisicoopangstofdepressie,Gemeenten2016_Matig_veelregieovereigenleven,Gemeenten2016_Minstenseenbeperking,Gemeenten2016_Mobiliteitsbeperking,Gemeenten2016_Obesitas,Gemeenten2016_Overgewicht,Gemeenten2016_Roker,Gemeenten2016_Sporter,Gemeenten2016_Voldoetaanalcoholrichtlijn,Gemeenten2016_Vrijwilligerswerk,record_count,doc_record_count
2020-03-05,beverwijk,noord-holland,2,83056,1.0,83056.0,0,0.0,0.0,0.0,0.0,7,7,4,2,7,40318,51,45,11,2,9,6,3,5,7,75,7,35,13,15,44,89,17,11,16,53,23,49,41,21,109,266
2020-03-05,blaricum,noord-holland,1,83056,1.0,83056.0,0,0.0,0.0,0.0,0.0,7,7,4,2,8,9622,50,38,8,0,1,6,6,4,4,79,5,33,15,10,37,91,12,8,10,44,16,56,34,32,50,89
2020-03-05,diemen,noord-holland,2,83056,2.0,83056.0,2020-03-03 00:00:00,3.0,83056.0,3.0,83056.0,7,7,4,2,7,26840,52,46,12,3,4,6,3,4,6,76,7,33,11,13,46,90,15,10,13,46,24,52,42,24,63,97
2020-03-05,haarlem,noord-holland,1,83056,1.0,83056.0,2020-03-03 00:00:00,1.0,83056.0,0.0,0.0,7,7,4,2,7,158140,54,44,11,2,3,6,3,4,6,77,7,33,12,13,46,90,14,10,12,44,23,55,36,24,613,915
2020-03-05,alphen aan den rijn,zuid-holland,1,109279,1.0,109279.0,2020-03-03 00:00:00,1.0,109279.0,0.0,0.0,7,7,4,2,7,107960,52,42,9,1,5,5,3,5,5,77,6,35,14,14,48,89,15,9,14,51,20,50,41,30,288,400
2020-03-05,delft,zuid-holland,1,109279,1.0,109279.0,2020-03-03 00:00:00,1.0,109279.0,1.0,109279.0,7,7,5,2,8,101034,60,51,13,0,1,4,3,3,5,76,8,34,11,13,50,90,14,10,12,45,22,56,42,26,282,664
2020-03-05,hardinxveld-giessendam,zuid-holland,2,109279,1.0,109279.0,0,0.0,0.0,0.0,0.0,7,7,5,2,8,17774,44,39,8,3,1,5,3,4,4,79,5,30,16,17,40,90,13,9,15,51,18,43,51,39,44,52
2020-03-05,rotterdam,zuid-holland,5,109279,3.0,109279.0,2020-03-03 00:00:00,1.0,109279.0,0.0,0.0,7,7,5,2,8,629606,47,52,15,1,2,7,4,6,10,68,11,37,10,16,51,85,21,15,17,51,27,44,51,21,1983,3759
2020-03-05,best,noord-brabant,1,131760,0.0,0.0,0,0.0,0.0,0.0,0.0,7,7,4,2,9,28976,52,41,9,1,11,3,4,4,6,76,6,30,17,14,43,90,15,8,13,51,18,56,34,32,99,146
2020-03-05,dongen,noord-brabant,1,131760,0.0,0.0,0,0.0,0.0,0.0,0.0,7,7,5,2,8,25413,48,42,10,1,3,5,2,6,6,75,6,32,16,17,44,90,17,10,16,53,19,53,38,29,61,94
