col_name;Key;Title;Description
"WijkenEnBuurten";"BU03610106";"Oranjepark";
"WijkenEnBuurten";"BU03610107";"Cranenbroek";
"WijkenEnBuurten";"BU03610108";"Bloemwijk en Zocherkwartier";
"WijkenEnBuurten";"BU03610109";"Burgemeesterskwartier";
"WijkenEnBuurten";"WK036102  ";"Oudorp";
"WijkenEnBuurten";"BU03610200";"Rekerbuurt en Ooievaarsnest";
"WijkenEnBuurten";"BU03610201";"Oudorp-Noord en Oudorp-Oost";
"WijkenEnBuurten";"BU03610202";"Oudorp-Centrum";
"WijkenEnBuurten";"BU03610203";"Schermereiland en Omval";
"WijkenEnBuurten";"BU03610204";"Oudorperpolder-Zuid";
"WijkenEnBuurten";"BU03610205";"Oudorperpolder-Midden";
"WijkenEnBuurten";"BU03610206";"Oudorperpolder-Noord";
"WijkenEnBuurten";"BU03610208";"De Nollen";
"WijkenEnBuurten";"BU03610209";"Beverkoog";
"WijkenEnBuurten";"WK036103  ";"Overdie";
"WijkenEnBuurten";"BU03610300";"Oud-Overdie";
"WijkenEnBuurten";"BU03610301";"Oosterhout";
"WijkenEnBuurten";"BU03610302";"Overdie-Oost";
"WijkenEnBuurten";"BU03610303";"Overdie-West";
"WijkenEnBuurten";"BU03610308";"Boekelermeer-Zuid";
"WijkenEnBuurten";"BU03610309";"Boekelermeer-Noord";
"WijkenEnBuurten";"WK036104  ";"West";
"WijkenEnBuurten";"BU03610400";"De Hoef III en IV";
"WijkenEnBuurten";"BU03610401";"De Hoef I en II";
"WijkenEnBuurten";"BU03610402";"Bergerwegkwartier";
"WijkenEnBuurten";"BU03610403";"Bergerhof en Blaeustraatkwartier";
"WijkenEnBuurten";"BU03610404";"Bergermeer";
"WijkenEnBuurten";"BU03610409";"Landelijk gebied-West";
"WijkenEnBuurten";"WK036105  ";"Huiswaard";
"WijkenEnBuurten";"BU03610500";"Huiswaard-1-Zuid";
"WijkenEnBuurten";"BU03610501";"Muiderwaard";
"WijkenEnBuurten";"BU03610502";"Huiswaard-2-West";
"WijkenEnBuurten";"BU03610503";"Huiswaard-2-Oost";
"WijkenEnBuurten";"BU03610504";"Vroonermeer-Zuid";
"WijkenEnBuurten";"BU03610505";"Vroonermeer-Noord";
"WijkenEnBuurten";"WK036106  ";"De Mare";
"WijkenEnBuurten";"BU03610600";"'t Rak-Zuid";
"WijkenEnBuurten";"BU03610601";"'t Rak-Noord";
"WijkenEnBuurten";"BU03610602";"De Horn-Noord";
"WijkenEnBuurten";"BU03610603";"De Horn-Zuid";
"WijkenEnBuurten";"BU03610604";"De Mare";
"WijkenEnBuurten";"WK036107  ";"Daalmeer/Koedijk";
"WijkenEnBuurten";"BU03610700";"Daalmeer-Zuidoost";
"WijkenEnBuurten";"BU03610701";"Daalmeer-Zuidwest";
"WijkenEnBuurten";"BU03610702";"Koedijk en De Weijdt";
"WijkenEnBuurten";"BU03610703";"Daalmeer-Noordwest";
"WijkenEnBuurten";"BU03610704";"Daalmeer-Noordoost";
"WijkenEnBuurten";"BU03610709";"Landelijk gebied Noord";
"WijkenEnBuurten";"WK036108  ";"Centrum";
"WijkenEnBuurten";"BU03610800";"Binnenstad-West";
"WijkenEnBuurten";"BU03610801";"Binnenstad-Oost";
"WijkenEnBuurten";"BU03610802";"Spoorbuurt";
"WijkenEnBuurten";"BU03610803";"Overstad";
"WijkenEnBuurten";"WK036109  ";"Schermer";
"WijkenEnBuurten";"BU03610900";"Oterleek";
"WijkenEnBuurten";"BU03610901";"Ursem gem. S";
